form	count	english candidates	example
extinguí-la	1	jeroboam (0.02), became (0.01), cut (0.01), destroy (0.00)	1 Reis 13:34 — And this thing became sin unto the house of Jeroboam, even to cut it off, and to destroy it from off the face of the earth.
tabrimom	1	tabrimon (1.00), hezion (1.00), ben-hadad (0.07), asa (0.04)	1 Reis 15:18 — Then Asa took all the silver and the gold that were left in the treasures of the house of the LORD, and the treasures of the king's house, and deliver
heziom	1	tabrimon (1.00), hezion (1.00), ben-hadad (0.07), asa (0.04)	1 Reis 15:18 — Then Asa took all the silver and the gold that were left in the treasures of the house of the LORD, and the treasures of the king's house, and deliver
arsa	1	arza (1.00), zimri (0.14), tirzah (0.11), conspired (0.10)	1 Reis 16:9 — And his servant Zimri, captain of half his chariots, conspired against him, as he was in Tirzah, drinking himself drunk in the house of Arza steward o
etbaal	1	ethbaal (1.00), zidonians (0.20), jezebel (0.10), nebat (0.08)	1 Reis 16:31 — And it came to pass, as if it had been a light thing for him to walk in the sins of Jeroboam the son of Nebat, that he took to wife Jezebel the daught
hiel	1	hiel (1.00), beth-elite (1.00), segub (0.50), abiram (0.20)	1 Reis 16:34 — In his days did Hiel the Beth-elite build Jericho: he laid the foundation thereof in Abiram his firstborn, and set up the gates thereof in his younges
betelita	1	hiel (1.00), beth-elite (1.00), segub (0.50), abiram (0.20)	1 Reis 16:34 — In his days did Hiel the Beth-elite build Jericho: he laid the foundation thereof in Abiram his firstborn, and set up the gates thereof in his younges
cavacos	1	barrel (0.50), sticks (0.29), handful (0.20), cruse (0.20)	1 Reis 17:12 — And she said, As the LORD thy God liveth, I have not a cake, but an handful of meal in a barrel, and a little oil in a cruse: and, behold, I am gather
retalhavam	1	lancets (1.00), knives (0.33), gushed (0.29), aloud (0.08)	1 Reis 18:28 — And they cried aloud, and cut themselves after their manner with knives and lancets, till the blood gushed out upon them.
setima	1	ariseth (0.14), stop (0.07), chariot (0.03), ahab (0.02)	1 Reis 18:44 — And it came to pass at the seventh time, that he said, Behold, there ariseth a little cloud out of the sea, like a man's hand. And he said, Go up, say
seguí-lo	1	boiled (0.50), instruments (0.04), ministered (0.04), yoke (0.03)	1 Reis 19:21 — And he returned back from him, and took a yoke of oxen, and slew them, and boiled their flesh with the instruments of the oxen, and gave unto the peop
vice-rei	1	deputy (0.33), edom (0.02), king (0.00)	1 Reis 22:47 — There was then no king in Edom: a deputy was king.
desembocadura	1	emptied (0.18), laman (0.04), red (0.03), borders (0.02)	1 Néfi 2:8 — And it came to pass that he called the name of the river, Laman, and it emptied into the Red  Sea; and the valley was in the borders near the mouth th
sorrateiramente	1	crept (0.50), laban (0.02), walls (0.02), towards (0.02)	1 Néfi 4:5 — And it was by night; and I caused that they should hide themselves without the walls. And after they had hid themselves, I, Nephi, crept into the city
escurecidas	1	dimmed (1.00), prophesied (0.03), plates (0.01), brass (0.01)	1 Néfi 5:19 — Wherefore, he said that these plates of brass should never perish; neither should they be dimmed any more by time. And he prophesied many things conce
permanência	1	dreamed (0.10), tarried (0.05), dream (0.03), vision (0.02)	1 Néfi 8:2 — And it came to pass that while my father tarried in the wilderness he spake unto us, saying: Behold, I have dreamed a dream; or, in other words, I hav
barranca	1	extended (0.13), bank (0.09), along (0.05), rod (0.02)	1 Néfi 8:19 — And I beheld a rod of iron, and it extended along the bank of the river, and led to the tree by which I stood.
alparcas	1	shoe's (0.67), unloose (0.40), latchet (0.29), mightier (0.11)	1 Néfi 10:8 — Yea, even he should go forth and cry in the wilderness: Prepare ye the way of the Lord, and make his paths straight; for there standeth one among you 
betabara	1	bethabara (0.67), messiah (0.06), baptize (0.05), beyond (0.03)	1 Néfi 10:9 — And my father said he should baptize in Bethabara, beyond Jordan; and he also said he should baptize with water; even that he should baptize the Messi
repulsivo	1	loathsome (0.25), idleness (0.22), dwindled (0.18), filthy (0.07)	1 Néfi 12:23 — And it came to pass that I beheld, after they had dwindled in unbelief they became a dark, and loathsome, and a filthy people, full of idleness and al
pátrias-mães	1	beheld (0.01), gentiles (0.01), mother (0.01), battle (0.01)	1 Néfi 13:17 — And I beheld that their mother Gentiles were gathered together upon the waters, and upon the land also, to battle against them.
deu-mas	1	record (0.01), angel (0.01), bear (0.01), known (0.01)	1 Néfi 14:29 — And I bear record that I saw the things which my father saw, and the angel of the Lord did make them known unto me.
sul-sudeste	1	southeast (1.00), shazer (0.67), direction (0.18), traveled (0.14)	1 Néfi 16:13 — And it came to pass that we traveled for the space of four days, nearly a south– southeast direction, and we did pitch our tents again; and we did cal
naom	1	nahom (1.00), ishmael (0.03), buried (0.02), died (0.01)	1 Néfi 16:34 — And it came to pass that Ishmael died, and was buried in the place which was called Nahom.
irreântum	1	irreantum (1.00), interpreted (0.12), bountiful (0.06), honey (0.03)	1 Néfi 17:5 — And we did come to the land which we called Bountiful, because of its much fruit and also wild honey; and all these things were prepared of the Lord t
queixavam	1	complain (0.22), instructed (0.07), desirous (0.03), labor (0.02)	1 Néfi 17:18 — And thus my brethren did complain against me, and were desirous that they might not labor, for they did not believe that I could build a ship; neither
cabras-montesas	1	animals (0.25), forests (0.22), ore (0.20), cow (0.18)	1 Néfi 18:25 — And it came to pass that we did find upon the land of promise, as we journeyed in the wilderness, that there were beasts in the forests of every kind,
longínquos	1	pastors (0.18), listen (0.08), mention (0.06), isles (0.05)	1 Néfi 21:1 — And again: Hearken, O ye house of Israel, all ye that are broken off and are driven out because of the wickedness of the pastors of my people; yea, al
incontaminável	1	incorruptible (0.29), fadeth (0.25), undefiled (0.20), reserved (0.07)	1 Pedro 1:4 — To an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,
incontaminado	1	spot (0.05), blemish (0.04), precious (0.02), lamb (0.01)	1 Pedro 1:19 — But with the precious blood of Christ, as of a lamb without blemish and without spot:
encrespamento	1	plaiting (1.00), adorning (0.67), wearing (0.25), outward (0.11)	1 Pedro 3:3 — Whose adorning let it not be that outward adorning of plaiting the hair, and of wearing of gold, or of putting on of apparel;
compostura	1	plaiting (1.00), adorning (0.67), wearing (0.25), outward (0.11)	1 Pedro 3:3 — Whose adorning let it not be that outward adorning of plaiting the hair, and of wearing of gold, or of putting on of apparel;
indagação	1	filth (0.33), figure (0.25), putting (0.10), whereunto (0.06)	1 Pedro 3:21 — The like figure whereunto even baptism doth also now save us (not the putting away of the filth of the flesh, but the answer of a good conscience towa
borracheiras	1	banquetings (1.00), revellings (0.67), idolatries (0.50), excess (0.25)	1 Pedro 4:3 — For the time past of our life may suffice us to have wrought the will of the Gentiles, when we walked in lasciviousness, lusts, excess of wine, revell
desenfreamento	1	riot (0.50), excess (0.25), run (0.03), strange (0.02)	1 Pedro 4:4 — Wherein they think it strange that ye run not with them to the same excess of riot, speaking evil of you:
vituperados	1	resteth (0.33), reproached (0.13), happy (0.06), glorified (0.03)	1 Pedro 4:14 — If ye be reproached for the name of Christ, happy are ye; for the spirit of glory and of God resteth upon you: on their part he is evil spoken of, but
co-eleita	1	elected (0.50), marcus (0.50), saluteth (0.40), babylon (0.01)	1 Pedro 5:13 — The church that is at Babylon, elected together with you, saluteth you; and so doth Marcus my son.
ramataim-zofim	1	ramathaim-zophim (1.00), tohu (1.00), zuph (0.50), ephrathite (0.50)	1 Samuel 1:1 — Now there was a certain man of Ramathaim-zophim, of mount Ephraim, and his name was Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, th
toú	1	ramathaim-zophim (1.00), tohu (1.00), zuph (0.50), ephrathite (0.50)	1 Samuel 1:1 — Now there was a certain man of Ramathaim-zophim, of mount Ephraim, and his name was Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, th
grandiosos	1	plagues (0.08), egyptians (0.02), woe (0.02), smote (0.01)	1 Samuel 4:8 — Woe unto us! who shall deliver us out of the hand of these mighty Gods? these are the Gods that smote the Egyptians with all the plagues in the wilder
vexame	1	emerods (0.22), parts (0.02), small (0.01), secret (0.01)	1 Samuel 5:9 — And it was so, that, after they had carried it about, the hand of the LORD was against the city with a very great destruction: and he smote the men of
vexação	1	deadly (0.18), lords (0.05), heavy (0.04), ark (0.01)	1 Samuel 5:11 — So they sent and gathered together all the lords of the Philistines, and said, Send away the ark of the God of Israel, and let it go again to his own 
trovoada	1	thundered (0.40), discomfited (0.20), thunder (0.06), drew (0.02)	1 Samuel 7:10 — And as Samuel was offering up the burnt offering, the Philistines drew near to battle against Israel: but the LORD thundered with a great thunder on t
bete-car	1	beth-car (1.00), mizpeh (0.09), pursued (0.04), philistines (0.01)	1 Samuel 7:11 — And the men of Israel went out of Mizpeh, and pursued the Philistines, and smote them, until they came under Beth-car.
petrechos	1	fifties (0.17), instruments (0.04), reap (0.04), harvest (0.03)	1 Samuel 8:12 — And he will appoint him captains over thousands, and captains over fifties; and will set them to ear his ground, and to reap his harvest, and to make 
zeror	1	zeror (1.00), bechorath (1.00), aphiah (1.00), abiel (0.50)	1 Samuel 9:1 — Now there was a man of Benjamin, whose name was Kish, the son of Abiel, the son of Zeror, the son of Bechorath, the son of Aphiah, a Benjamite, a migh
becorate	1	zeror (1.00), bechorath (1.00), aphiah (1.00), abiel (0.50)	1 Samuel 9:1 — Now there was a man of Benjamin, whose name was Kish, the son of Abiel, the son of Zeror, the son of Bechorath, the son of Aphiah, a Benjamite, a migh
salisa	1	shalisha (1.00), shalim (1.00), benjamites (0.22), ephraim (0.01)	1 Samuel 9:4 — And he passed through mount Ephraim, and passed through the land of Shalisha, but they found them not: then they passed through the land of Shalim, an
saalim	1	shalisha (1.00), shalim (1.00), benjamites (0.22), ephraim (0.01)	1 Samuel 9:4 — And he passed through mount Ephraim, and passed through the land of Shalisha, but they found them not: then they passed through the land of Shalim, an
zelza	1	zelzah (1.00), sorroweth (0.50), rachel's (0.33), wentest (0.13)	1 Samuel 10:2 — When thou art departed from me to day, then thou shalt find two men by Rachel's sepulchre in the border of Benjamin at Zelzah; and they will say unto 
apoderará	1	prophesy (0.02), turned (0.01), another (0.00), spirit (0.00)	1 Samuel 10:6 — And the Spirit of the LORD will come upon thee, and thou shalt prophesy with them, and shalt be turned into another man.
matri	1	matri (1.00), kish (0.09), family (0.02), benjamin (0.01)	1 Samuel 10:21 — When he had caused the tribe of Benjamin to come near by their families, the family of Matri was taken, and Saul the son of Kish was taken: and when t
nesciamente	1	foolishly (0.15), established (0.01), samuel (0.01), kept (0.01)	1 Samuel 13:13 — And Samuel said to Saul, Thou hast done foolishly: thou hast not kept the commandment of the LORD thy God, which he commanded thee: for now would the 
adentadas	1	coulters (1.00), forks (1.00), file (0.67), mattocks (0.67)	1 Samuel 13:21 — Yet they had a file for the mattocks, and for the coulters, and for the forks, and for the axes, and to sharpen the goads.
aguilhadas	1	coulters (1.00), forks (1.00), file (0.67), mattocks (0.67)	1 Samuel 13:21 — Yet they had a file for the mattocks, and for the coulters, and for the forks, and for the axes, and to sharpen the goads.
desfiladeiros	1	bozez (1.00), seneh (1.00), philistines' (0.40), passages (0.20)	1 Samuel 14:4 — And between the passages, by which Jonathan sought to go over unto the Philistines' garrison, there was a sharp rock on the one side, and a sharp rock
bozez	1	bozez (1.00), seneh (1.00), philistines' (0.40), passages (0.20)	1 Samuel 14:4 — And between the passages, by which Jonathan sought to go over unto the Philistines' garrison, there was a sharp rock on the one side, and a sharp rock
sené	1	bozez (1.00), seneh (1.00), philistines' (0.40), passages (0.20)	1 Samuel 14:4 — And between the passages, by which Jonathan sought to go over unto the Philistines' garrison, there was a sharp rock on the one side, and a sharp rock
telaim	1	telaim (1.00), footmen (0.15), numbered (0.01), ten (0.01)	1 Samuel 15:4 — And Saul gathered the people together, and numbered them in Telaim, two hundred thousand footmen, and ten thousand men of Judah.
feitiçaria	1	witchcraft (0.40), stubbornness (0.29), idolatry (0.13), rebellion (0.06)	1 Samuel 15:23 — For rebellion is as the sin of witchcraft, and stubbornness is as iniquity and idolatry. Because thou hast rejected the word of the LORD, he hath also
efes-damim	1	shochoh (1.00), ephes-dammim (1.00), azekah (0.25), belongeth (0.06)	1 Samuel 17:1 — Now the Philistines gathered together their armies to battle, and were gathered together at Shochoh, which belongeth to Judah, and pitched between Sho
grevas	1	greaves (1.00), target (0.50), legs (0.09), shoulders (0.07)	1 Samuel 17:6 — And he had greaves of brass upon his legs, and a target of brass between his shoulders.
seixos	1	shepherd's (0.67), scrip (0.18), bag (0.17), sling (0.17)	1 Samuel 17:40 — And he took his staff in his hand, and chose him five smooth stones out of the brook, and put them in a shepherd's bag which he had, even in a scrip; 
surrão	1	shepherd's (0.67), scrip (0.18), bag (0.17), sling (0.17)	1 Samuel 17:40 — And he took his staff in his hand, and chose him five smooth stones out of the brook, and put them in a shepherd's bag which he had, even in a scrip; 
secu	1	sechu (1.00), naioth (0.33), ramah (0.06), asked (0.02)	1 Samuel 19:22 — Then went he also to Ramah, and came to a great well that is in Sechu: and he asked and said, Where are Samuel and David? And one said, Behold, they b
ausentando-te	1	ezel (1.00), stayed (0.06), business (0.04), quickly (0.04)	1 Samuel 20:19 — And when thou hast stayed three days, then thou shalt go down quickly, and come to the place where thou didst hide thyself when the business was in ha
ezel	1	ezel (1.00), stayed (0.06), business (0.04), quickly (0.04)	1 Samuel 20:19 — And when thou hast stayed three days, then thou shalt go down quickly, and come to the place where thou didst hide thyself when the business was in ha
trazer-mo	1	fetch (0.06), jesse (0.04), liveth (0.02), established (0.01)	1 Samuel 20:31 — For as long as the son of Jesse liveth upon the ground, thou shalt not be established, nor thy kingdom. Wherefore now send and fetch him unto me, for 
premente	1	ahimelech (0.13), required (0.05), spear (0.05), business (0.04)	1 Samuel 21:8 — And David said unto Ahimelech, And is there not here under thine hand spear or sword? for I have neither brought my sword nor my weapons with me, beca
dá-ma	1	slewest (1.00), goliath (0.29), wrapped (0.13), elah (0.12)	1 Samuel 21:9 — And the priest said, The sword of Goliath the Philistine, whom thou slewest in the valley of Elah, behold, it is here wrapped in a cloth behind the ep
portal	1	scrabbled (1.00), behaviour (0.50), spittle (0.50), feigned (0.33)	1 Samuel 21:13 — And he changed his behaviour before them, and feigned himself mad in their hands, and scrabbled on the doors of the gate, and let his spittle fall dow
herete	1	hareth (1.00), forest (0.04), gad (0.03), abide (0.02)	1 Samuel 22:5 — And the prophet Gad said unto David, Abide not in the hold; depart, and get thee into the land of Judah. Then David departed, and came into the forest
saira	1	ziph (0.20), wood (0.01), saul (0.01), seek (0.01)	1 Samuel 23:15 — And David saw that Saul was come out to seek his life: and David was in the wilderness of Ziph in a wood.
sela-hamalecote	1	selahammahlekoth (1.00), pursuing (0.14), philistines (0.01), returned (0.01)	1 Samuel 23:28 — Wherefore Saul returned from pursuing after David, and went against the Philistines: therefore they called that place Selahammahlekoth.
maoque	1	maoch (1.00), achish (0.10), gath (0.06), arose (0.01)	1 Samuel 27:2 — And David arose, and he passed over with the six hundred men that were with him unto Achish, the son of Maoch, king of Gath.
gersitas	1	gezrites (1.00), geshurites (0.40), invaded (0.33), shur (0.29)	1 Samuel 27:8 — And David and his men went up, and invaded the Geshurites, and the Gezrites, and the Amalekites: for those nations were of old the inhabitants of the 
queretitas	1	invasion (1.00), cherethites (0.20), ziklag (0.15), belongeth (0.06)	1 Samuel 30:14 — We made an invasion upon the south of the Cherethites, and upon the coast which belongeth to Judah, and upon the south of Caleb; and we burned Ziklag 
sifmote	1	siphmoth (1.00), eshtemoa (0.33), aroer (0.12)	1 Samuel 30:28 — And to them which were in Aroer, and to them which were in Siphmoth, and to them which were in Eshtemoa,
racal	1	rachal (1.00), jerahmeelites (0.67), kenites (0.25), cities (0.00)	1 Samuel 30:29 — And to them which were in Rachal, and to them which were in the cities of the Jerahmeelites, and to them which were in the cities of the Kenites,
corasã	1	chorashan (1.00), athach (1.00), hormah (0.20)	1 Samuel 30:30 — And to them which were in Hormah, and to them which were in Chorashan, and to them which were in Athach,
fraudulência	1	guile (0.12), exhortation (0.11), deceit (0.06), uncleanness (0.05)	1 Tessalonicenses 2:3 — For our exhortation was not of deceit, nor of uncleanness, nor in guile:
irrepreensívelmente	1	holily (1.00), unblameably (1.00), behaved (0.20), justly (0.18)	1 Tessalonicenses 2:10 — Ye are witnesses, and God also, how holily and justly and unblameably we behaved ourselves among you that believe:
desordeiros	1	feebleminded (1.00), unruly (0.40), patient (0.09), warn (0.09)	1 Tessalonicenses 5:14 — Now we exhort you, brethren, warn them that are unruly, comfort the feebleminded, support the weak, be patient toward all men.
parricidas	1	lawless (1.00), manslayers (1.00), unholy (0.15), disobedient (0.12)	1 Timóteo 1:9 — Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profa
matricidas	1	lawless (1.00), manslayers (1.00), unholy (0.15), disobedient (0.12)	1 Timóteo 1:9 — Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profa
intercessões	1	intercessions (1.00), supplications (0.09), exhort (0.05), giving (0.04)	1 Timóteo 2:1 — I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;
episcopado	1	desireth (0.06), bishop (0.03), office (0.02), true (0.01)	1 Timóteo 3:1 — This is a true saying, If a man desire the office of a bishop, he desireth a good work.
neófito	1	novice (1.00), condemnation (0.04), pride (0.02), devil (0.01)	1 Timóteo 3:6 — Not a novice, lest being lifted up with pride he fall into the condemnation of the devil.
corporal	1	bodily (0.40), profiteth (0.17), profitable (0.15), godliness (0.09)	1 Timóteo 4:8 — For bodily exercise profiteth little: but godliness is profitable unto all things, having promise of the life that now is, and of that which is to com
aproveitamento	1	profiting (1.00), meditate (0.13), wholly (0.06), appear (0.03)	1 Timóteo 4:15 — Meditate upon these things; give thyself wholly to them; that thy profiting may appear to all.
intrigantes	1	tattlers (1.00), busybodies (0.67), wandering (0.20), idle (0.11)	1 Timóteo 5:13 — And withal they learn to be idle, wandering about from house to house; and not only idle, but tattlers also and busybodies, speaking things which they
besaleel	1	uri (0.25), bezaleel (0.20), hur (0.12), brasen (0.07)	2 Crônicas 1:5 — Moreover the brasen altar, that Bezaleel the son of Uri, the son of Hur, had made, he put before the tabernacle of the LORD: and Solomon and the congr
sândalos	1	algum (0.50), skill (0.18), fir (0.09), timber (0.06)	2 Crônicas 2:8 — Send me also cedar trees, fir trees, and algum trees, out of Lebanon: for I know that thy servants can skill to cut timber in Lebanon; and, behold, my
carreteiros	1	bearers (0.50), overseers (0.29), hewers (0.20), burdens (0.06)	2 Crônicas 2:18 — And he set threescore and ten thousand of them to be bearers of burdens, and fourscore thousand to be hewers in the mountain, and three thousand and s
parvaim	1	parvaim (1.00), garnished (0.33), beauty (0.03), precious (0.02)	2 Crônicas 3:6 — And he garnished the house with precious stones for beauty: and the gold was gold of Parvaim.
flor-de-lis	1	handbreadth (0.50), thickness (0.40), baths (0.29), brim (0.22)	2 Crônicas 4:5 — And the thickness of it was an handbreadth, and the brim of it like the work of the brim of a cup, with flowers of lilies; and it received and held th
zeredá	1	zeredathah (1.00), succoth (0.12), clay (0.06), plain (0.02)	2 Crônicas 4:17 — In the plain of Jordan did the king cast them, in the clay ground between Succoth and Zeredathah.
hamate-zobá	1	hamath-zobah (1.00), prevailed (0.05), solomon (0.01), went (0.00)	2 Crônicas 8:3 — And Solomon went to Hamath-zobah, and prevailed against it.
adoraim	1	adoraim (1.00), azekah (0.25), lachish (0.09)	2 Crônicas 11:9 — And Adoraim, and Lachish, and Azekah,
zaã	1	shamariah (1.00), zaham (1.00), jeush (0.22), bare (0.01)	2 Crônicas 11:19 — Which bare him children; Jeush, and Shamariah, and Zaham.
suquitas	1	sukkiims (1.00), lubims (0.67), ethiopians (0.15), horsemen (0.04)	2 Crônicas 12:3 — With twelve hundred chariots, and threescore thousand horsemen: and the people were without number that came with him out of Egypt; the Lubims, the Su
micaía	1	uriel (0.40), michaiah (0.25), abijah (0.10), gibeah (0.04)	2 Crônicas 13:2 — He reigned three years in Jerusalem. His mother's name also was Michaiah the daughter of Uriel of Gibeah. And there was war between Abijah and Jeroboa
soberania	1	salt (0.05), ought (0.01), covenant (0.00), ever (0.00)	2 Crônicas 13:5 — Ought ye not to know that the LORD God of Israel gave the kingdom over Israel to David for ever, even to him and to his sons by a covenant of salt?
jesana	1	jeshanah (1.00), ephrain (1.00), abijah (0.10), towns (0.07)	2 Crônicas 13:19 — And Abijah pursued after Jeroboam, and took cities from him, Beth-el with the towns thereof, and Jeshanah with the towns thereof, and Ephrain with the
zefatá	1	zephathah (1.00), mareshah (0.22), array (0.06), asa (0.04)	2 Crônicas 14:10 — Then Asa went out against him, and they set the battle in array in the valley of Zephathah at Mareshah.
abel-maim	1	abel-maim (1.00), ijon (0.50), ben-hadad (0.07), store (0.05)	2 Crônicas 16:4 — And Ben-hadad hearkened unto king Asa, and sent the captains of his armies against the cities of Israel; and they smote Ijon, and Dan, and Abel-maim, 
bene-hail	1	benhail (1.00), michaiah (0.25), nethaneel (0.13), obadiah (0.10)	2 Crônicas 17:7 — Also in the third year of his reign he sent to his princes, even to Benhail, and to Obadiah, and to Zechariah, and to Nethaneel, and to Michaiah, to t
tobe-adonias	1	tobadonijah (1.00), jehonathan (0.50), tobijah (0.50), shemiramoth (0.40)	2 Crônicas 17:8 — And with them he sent Levites, even Shemaiah, and Nethaniah, and Zebadiah, and Asahel, and Shemiramoth, and Jehonathan, and Adonijah, and Tobijah, and
ziz	1	cliff (1.00), ziz (1.00), jeruel (1.00), brook (0.05)	2 Crônicas 20:16 — To morrow go ye down against them: behold, they come up by the cliff of Ziz; and ye shall find them at the end of the brook, before the wilderness of 
jeruel	1	cliff (1.00), ziz (1.00), jeruel (1.00), brook (0.05)	2 Crônicas 20:16 — To morrow go ye down against them: behold, they come up by the cliff of Ziz; and ye shall find them at the end of the brook, before the wilderness of 
desbaratados	1	ambushments (1.00), seir (0.05), smitten (0.02), sing (0.02)	2 Crônicas 20:22 — And when they began to sing and to praise, the LORD set ambushments against the children of Ammon, Moab, and mount Seir, which were come against Judah
dodava	1	dodavah (1.00), mareshah (0.22), eliezer (0.13), tarshish (0.09)	2 Crônicas 20:37 — Then Eliezer the son of Dodavah of Mareshah prophesied against Jehoshaphat, saying, Because thou hast joined thyself with Ahaziah, the LORD hath broke
elisafate	1	elishaphat (1.00), jehohanan (0.29), adaiah (0.20), jeroham (0.18)	2 Crônicas 23:1 — And in the seventh year Jehoiada strengthened himself, and took the captains of hundreds, Azariah the son of Jeroham, and Ishmael the son of Jehohanan
jeozabade	1	shimrith (1.00), shimeath (0.67), ammonitess (0.40), jehozabad (0.40)	2 Crônicas 24:26 — And these are they that conspired against him; Zabad the son of Shimeath an Ammonitess, and Jehozabad the son of Shimrith a Moabitess.
sinrite	1	shimrith (1.00), shimeath (0.67), ammonitess (0.40), jehozabad (0.40)	2 Crônicas 24:26 — And these are they that conspired against him; Zabad the son of Shimeath an Ammonitess, and Jehozabad the son of Shimrith a Moabitess.
joadã	1	jehoaddan (0.67), amaziah (0.05), nine (0.03), mother's (0.03)	2 Crônicas 25:1 — Amaziah was twenty and five years old when he began to reign, and he reigned twenty and nine years in Jerusalem. And his mother's name was Jehoaddan o
jabne	1	jabneh (1.00), warred (0.18), ashdod (0.11), gath (0.06)	2 Crônicas 26:6 — And he went forth and warred against the Philistines, and brake down the wall of Gath, and the wall of Jabneh, and the wall of Ashdod, and built citie
gur-baal	1	gurbaal (1.00), mehunims (1.00), arabians (0.29), helped (0.08)	2 Crônicas 26:7 — And God helped him against the Philistines, and against the Arabians that dwelt in Gurbaal, and the Mehunims.
jeizquias	1	jehizkiah (1.00), hadlai (1.00), meshillemoth (0.67), berechiah (0.18)	2 Crônicas 28:12 — Then certain of the heads of the children of Ephraim, Azariah the son of Johanan, Berechiah the son of Meshillemoth, and Jehizkiah the son of Shallum,
hadlai	1	jehizkiah (1.00), hadlai (1.00), meshillemoth (0.67), berechiah (0.18)	2 Crônicas 28:12 — Then certain of the heads of the children of Ephraim, Azariah the son of Johanan, Berechiah the son of Meshillemoth, and Jehizkiah the son of Shallum,
ginzo	1	shocho (1.00), gimzo (1.00), gederoth (0.67), ajalon (0.50)	2 Crônicas 28:18 — The Philistines also had invaded the cities of the low country, and of the south of Judah, and had taken Beth-shemesh, and Ajalon, and Gederoth, and S
ismaquias	1	ismachiah (1.00), cononiah (0.67), azaziah (0.50), mahath (0.50)	2 Crônicas 31:13 — And Jehiel, and Azaziah, and Nahath, and Asahel, and Jerimoth, and Jozabad, and Eliel, and Ismachiah, and Mahath, and Benaiah, were overseers under th
miniamim	1	shecaniah (0.67), miniamin (0.50), amariah (0.13), courses (0.11)	2 Crônicas 31:15 — And next him were Eden, and Miniamin, and Jeshua, and Shemaiah, Amariah, and Shecaniah, in the cities of the priests, in their set office, to give to 
asalias	1	joahaz (1.00), azaliah (0.67), joah (0.18), recorder (0.14)	2 Crônicas 34:8 — Now in the eighteenth year of his reign, when he had purged the land, and the house, he sent Shaphan the son of Azaliah, and Maaseiah the governor of 
joate	1	overseers (0.29), jahath (0.25), skill (0.18), faithfully (0.17)	2 Crônicas 34:12 — And the men did the work faithfully: and the overseers of them were Jahath and Obadiah, the Levites, of the sons of Merari; and Zechariah and Meshulla
tocate	1	tikvath (1.00), hasrah (1.00), huldah (0.67), wardrobe (0.67)	2 Crônicas 34:22 — And Hilkiah, and they that the king had appointed, went to Huldah the prophetess, the wife of Shallum the son of Tikvath, the son of Hasrah, keeper of
enviando-lhos	1	betimes (0.29), sending (0.11), rising (0.04), dwelling (0.04)	2 Crônicas 36:15 — And the LORD God of their fathers sent to them by his messengers, rising up betimes, and sending; because he had compassion on his people, and on his 
iluminação	1	shined (0.18), shine (0.04), darkness (0.01), knowledge (0.01)	2 Coríntios 4:6 — For God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the fa
mortificação	1	dying (0.25), bearing (0.05), manifest (0.02), always (0.02)	2 Coríntios 4:10 — Always bearing about in the body the dying of the Lord Jesus, that the life also of Jesus might be made manifest in our body.
concórdia	1	concord (1.00), infidel (0.67), belial (0.12), believeth (0.03)	2 Coríntios 6:15 — And what concord hath Christ with Belial? or what part hath he that believeth with an infidel?
solicitude	1	earnest (0.20), titus (0.14), care (0.05), thanks (0.02)	2 Coríntios 8:16 — But thanks be to God, which put the same earnest care into the heart of Titus for you.
desapercebidos	1	unprepared (0.67), haply (0.29), confident (0.22), boasting (0.12)	2 Coríntios 9:4 — Lest haply if they of Macedonia come with me, and find you unprepared, we (that we say not, ye) should be ashamed in this same confident boasting.
sementeira	1	ministereth (0.67), sower (0.22), sown (0.06), fruits (0.04)	2 Coríntios 9:10 — Now he that ministereth seed to the sower both minister bread for your food, and multiply your seed sown, and increase the fruits of your righteousnes
fraudulentos	1	transforming (1.00), deceitful (0.09), workers (0.06), false (0.02)	2 Coríntios 11:13 — For such are false apostles, deceitful workers, transforming themselves into the apostles of Christ.
aretas	1	aretas (1.00), damascenes (1.00), apprehend (0.67), garrison (0.14)	2 Coríntios 11:32 — In Damascus the governor under Aretas the king kept the city of the Damascenes with a garrison, desirous to apprehend me:
damascenos	1	aretas (1.00), damascenes (1.00), apprehend (0.67), garrison (0.14)	2 Coríntios 11:32 — In Damascus the governor under Aretas the king kept the city of the Damascenes with a garrison, desirous to apprehend me:
inefáveis	1	unspeakable (0.29), paradise (0.18), lawful (0.04), caught (0.03)	2 Coríntios 12:4 — How that he was caught up into paradise, and heard unspeakable words, which it is not lawful for a man to utter.
detrações	1	debates (1.00), wraths (1.00), backbitings (1.00), whisperings (1.00)	2 Coríntios 12:20 — For I fear, lest, when I come, I shall not find you such as I would, and that I shall be found unto you such as ye would not: lest there be debates, e
mexericos	1	debates (1.00), wraths (1.00), backbitings (1.00), whisperings (1.00)	2 Coríntios 12:20 — For I fear, lest, when I come, I shall not find you such as I would, and that I shall be found unto you such as ye would not: lest there be debates, e
