form	count	gloss	dice	example
engulirão	1	swallow	0.08	Obadias 1:16 — For as ye have drunk upon my holy mountain, so shall all the heathen drink continually, yea, they shall drink, and they shall swallow down, and they s
desavença	1	stiffnecked	0.06	Ômni 1:28 — Wherefore, they went up into the wilderness. And their leader being a strong and mighty man, and a stiffnecked man, wherefore he caused a contention a
usurpação	1	robbery	0.20	Filipenses 2:6 — Who, being in the form of God, thought it not robbery to be equal with God:
cidadania	1	conversation	0.09	Filipenses 3:20 — For our conversation is in heaven; from whence also we look for the Saviour, the Lord Jesus Christ:
saquitel	1	bag	0.17	Provérbios 7:20 — He hath taken a bag of money with him, and will come home at the day appointed.
trespassassem	1	foundations	0.05	Provérbios 8:29 — When he gave to the sea his decree, that the waters should not pass his commandment: when he appointed the foundations of the earth:
displicente	1	slack	0.22	Provérbios 10:4 — He becometh poor that dealeth with a slack hand: but the hand of the diligent maketh rich.
apodrecimento	1	virtuous	0.29	Provérbios 12:4 — A virtuous woman is a crown to her husband: but she that maketh ashamed is as rottenness in his bones.
frouxo	1	adversity	0.17	Provérbios 24:10 — If thou faint in the day of adversity, thy strength is small.
frouxas	1	legs	0.09	Provérbios 26:7 — The legs of the lame are not equal: so is a parable in the mouth of fools.
vazão	1	uttereth	0.20	Provérbios 29:11 — A fool uttereth all his mind: but a wise man keepeth it in till afterwards.
costumeira	1	convenient	0.18	Provérbios 30:8 — Remove far from me vanity and lies: give me neither poverty nor riches; feed me with food convenient for me:
imprecações	1	fraud	0.25	Salmos 10:7 — His mouth is full of cursing and deceit and fraud: under his tongue is mischief and vanity.
pôr-me-á	1	pavilion	0.29	Salmos 27:5 — For in the time of trouble he shall hide me in his pavilion: in the secret of his tabernacle shall he hide me; he shall set me up upon a rock.
desaforos	1	pavilion	0.29	Salmos 31:20 — Thou shalt hide them in the secret of thy presence from the pride of man: thou shalt keep them secretly in a pavilion from the strife of tongues.
encobri-los-ás	1	pavilion	0.29	Salmos 31:20 — Thou shalt hide them in the secret of thy presence from the pride of man: thou shalt keep them secretly in a pavilion from the strife of tongues.
fraudulenta	1	devouring	0.20	Salmos 52:4 — Thou lovest all devouring words, O thou deceitful tongue.
molares	1	lions	0.05	Salmos 58:6 — Break their teeth, O God, in their mouth: break out the great teeth of the young lions, O LORD.
gordurosos	1	fatlings	0.22	Salmos 66:15 — I will offer unto thee burnt sacrifices of fatlings, with the incense of rams; I will offer bullocks with goats. Selah.
dávidas	1	ascended	0.06	Salmos 68:18 — Thou hast ascended on high, thou hast led captivity captive: thou hast received gifts for men; yea, for the rebellious also, that the LORD God might d
nô-los	1	told	0.01	Salmos 78:3 — Which we have heard and known, and our fathers have told us.
retalhado	1	terrors	0.13	Salmos 88:16 — Thy fierce wrath goeth over me; thy terrors have cut me off.
cornetas	1	cornet	0.25	Salmos 98:6 — With trumpets and sound of cornet make a joyful noise before the LORD, the King.
figueirais	1	vines	0.15	Salmos 105:33 — He smote their vines also and their fig trees; and brake the trees of their coasts.
inescrutável	1	unsearchable	0.29	Salmos 145:3 — Great is the LORD, and greatly to be praised; and his greatness is unsearchable.
altissonantes	1	sounding	0.18	Salmos 150:5 — Praise him upon the loud cymbals: praise him upon the high sounding cymbals.
atreve	1	bold	0.14	Romanos 10:20 — But Esaias is very bold, and saith, I was found of them that sought me not; I was made manifest unto them that asked not after me.
inescrutáveis	1	unsearchable	0.29	Romanos 11:33 — O the depth of the riches both of the wisdom and knowledge of God! how unsearchable are his judgments, and his ways past finding out!
fulano	1	kinsman	0.14	Rute 4:1 — Then went Boaz up to the gate, and sat him down there: and, behold, the kinsman of whom Boaz spake came by; unto whom he said, Ho, such a one! turn as
figuinhos	1	grape	0.20	Cantares de Salomão 2:13 — The fig tree putteth forth her green figs, and the vines with the tender grape give a good smell. Arise, my love, my fair one, and come away.
faze-ma	1	gardens	0.14	Cantares de Salomão 8:13 — Thou that dwellest in the gardens, the companions hearken to thy voice: cause me to hear it.
tenção	1	dealt	0.03	Zacarias 1:6 — But my words and my statutes, which I commanded my servants the prophets, did they not take hold of your fathers? and they returned and said, Like as 
portentosos	1	fellows	0.13	Zacarias 3:8 — Hear now, O Joshua the high priest, thou, and thy fellows that sit before thee: for they are men wondered at: for, behold, I will bring forth my serva
